labels	min	max	mean	l95	u95	ntot	numerator	denominator	fracdisp	y
very rare	0.9	1.1	1.185284815208392	0.24288776152888408	3.5014837273903225	748539	3	281	3/281	5
rare	1.9	2.1	0.755445028467144	0.4120410781895451	1.2713803204477443	748539	14	2048	14/2,048	4
uncommon/infrequent	2.9	3.1	1	0	Inf	748539	0	0	0/0	3
common/frequent	3.9	4.1	2.4366194224679303	1.3553967439962968	4.051061634626811	748539	15	692	15/692	2
very common	4.9	5.1	4.919085384337721	0.9893643908161089	15.010955197183565	748539	3	70	3/70	1
