topl	area	color	filter	filter_by	filter_mode	y	sim_obs	sim_not	dis_obs	dis_not	or	p	or_l95	or_u95	baserate	baserate_l95	baserate_u95	median_severity	q25_severity	q75_severity	ppv	ppv_l95	ppv_u95	npv	npv_l95	npv_u95
ALL	all	#000000	none	SE	hard	18																				
ALL	all	#000000	none	SE	soft	18	755	5999	44386	697399	1.9774520517864982	2.6155200133939165e-58	1.8297644274671068	2.134606130977896	0.06030547506542745	0.05976845033903734	0.060847012742360054	0.54	0.42	0.68	0.11178560852827954	0.10449034832268925	0.1195222255213964	0.9401632548514731	0.9396212194599671	0.9407007313471765
C01	infection	#EE7600	only	SE	hard	17	5	20	2774	45863	4.133242436085039	0.012323211381917843	1.2112269326653096	11.359720681821072	0.05710821585631499	0.05508122335517459	0.059205128058823386	0.49	0.38	0.62	0.2	0.08860584686802576	0.3913095036954034	0.9429652322306064	0.9408690122763973	0.9449914849454512
C01	infection	#EE7600	only	SE	soft	17	5	20	2926	47482	4.056949813996257	0.013223989944618486	1.188892098499413	11.147345474238117	0.05811670929748379	0.05610824039699276	0.060192489172083793	0.49	0.38	0.62	0.2	0.08860584686802576	0.3913095036954034	0.9419536581495	0.9398785101079257	0.9439614511122157
C04	oncology	#66A61E	only	SE	hard	16	13	108	542	53971	11.983978389387664	3.85736606752578e-10	6.14270441237479	21.53647245231237	0.010158509353150054	0.009351431467197684	0.011034466457781132	0.76	0.62	0.86	0.10743801652892562	0.06386968355786453	0.17516516193808945	0.9900574174967439	0.9891893288233545	0.9908564436441792
C04	oncology	#66A61E	only	SE	soft	16	31	536	820	65254	4.602635476973799	2.2104721057136378e-11	3.0755337997065557	6.663060312105822	0.01276991641782086	0.011945089945678125	0.013650911507408377	0.76	0.62	0.86	0.054673721340388004	0.03878164316752751	0.07655941660188115	0.9875896721857311	0.9867167381932445	0.9884059137801082
C05	musculoskeletal	#A6CEE3	only	SE	hard	15	14	266	1575	41139	1.3747091242528398	0.26196333323133364	0.7396553966593167	2.354713543718331	0.036958645392380335	0.035216312715790545	0.03878371498020356	0.53	0.45	0.61	0.05	0.03001442223827815	0.08216601452028834	0.9631268436578171	0.9612976461609739	0.9648727465574657
C05	musculoskeletal	#A6CEE3	only	SE	soft	15	17	284	1787	44843	1.5020659004992019	0.12905082741919632	0.8608519940534222	2.4552946773365996	0.038439411050265285	0.03673746758811342	0.040216908874191715	0.53	0.45	0.61	0.05647840531561462	0.035557944854133536	0.08857693813418151	0.9616770319536779	0.9598962111330476	0.9633817915599099
C06	digestive	#FDBF6F	only	SE	hard	14	17	258	2839	51221	1.1888030036464594	0.4961672851155468	0.6809273173981941	1.9445293616248345	0.05256280482193798	0.05071784751852097	0.05447102484918123	0.59	0.53	0.67	0.06181818181818182	0.0389509519015554	0.09675863368423673	0.9474842767295597	0.9455719202126773	0.9493330420410975
C06	digestive	#FDBF6F	only	SE	soft	14	17	265	3096	53805	1.1148674721707885	0.5996429982937937	0.6389371064506179	1.822396932420098	0.05443925642236329	0.05260942562444121	0.056328947258186005	0.59	0.53	0.67	0.06028368794326241	0.037975337393741995	0.09441084261253811	0.9455897084409765	0.9436957310127556	0.9474235252757567
C08	respiratory	#E31A1C	only	SE	hard	13	23	145	3191	32831	1.6319510446955796	0.03972545041890557	1.001201247167522	2.5495634233222746	0.08880906327714838	0.08592172946287778	0.09178368116999133	0.49	0.395	0.66	0.13690476190476192	0.09298940933738119	0.19705386172621353	0.9114152462384099	0.9084369234997626	0.9143058300284229
C08	respiratory	#E31A1C	only	SE	soft	13	25	156	3511	35903	1.63872469048939	0.0260198470681891	1.0274328616206352	2.514504590489479	0.08930420507639854	0.08653490789906258	0.09215318493766717	0.49	0.4	0.66	0.13812154696132597	0.09533732646069328	0.19594721091640652	0.9109199776729081	0.9080675387494445	0.913692324327774
C10	neurology	#B15928	only	SE	hard	12	24	213	4400	92593	2.371069658670729	2.516084817415171e-4	1.4845957456989016	3.629279464581243	0.0455003599712023	0.04420830348891871	0.046828328675506466	0.59	0.45	0.74	0.10126582278481013	0.06899813357279129	0.14625325659292746	0.9546359015599064	0.9533081553667256	0.9559276369909224
C10	neurology	#B15928	only	SE	soft	12	46	350	6306	112169	2.3378759490007477	9.168629940662534e-7	1.6784635455228027	3.189404414741578	0.05343607776497211	0.05217194287458716	0.05472907421928467	0.59	0.45	0.74	0.11616161616161616	0.0882268925398821	0.15147175977939503	0.9467735809242456	0.9454807672124963	0.9480374230104764
