topl	area	color	filter	filter_by	filter_mode	y	sim_obs	sim_not	dis_obs	dis_not	or	p	or_l95	or_u95	baserate	baserate_l95	baserate_u95	median_severity	q25_severity	q75_severity	ppv	ppv_l95	ppv_u95	npv	npv_l95	npv_u95
C11	ophthalmology	#6A3D9A	only	SE	hard	11	8	121	1762	46435	1.7423549706890085	0.1497595680346491	0.7343306378411064	3.55162150284745	0.03662624674088483	0.034987984250050896	0.03833817101657076	0.45	0.35	0.59	0.06201550387596899	0.03175615565540952	0.11760579050836753	0.9634417079901239	0.9617289354139602	0.9650806108087
C11	ophthalmology	#6A3D9A	only	SE	soft	11	9	125	2003	48248	1.7342972789210689	0.11666958059327262	0.7738133370701347	3.405729336744485	0.03993251959908703	0.03825763120866232	0.04167755567417899	0.45	0.35	0.59	0.06716417910447761	0.03573460604589505	0.12271887382554018	0.9601400967144933	0.9583941744995609	0.9618156731007665
C14	cardiovascular	#B2DF8A	only	SE	hard	10	110	285	4245	54744	4.97719212831296	4.2077326066045026e-35	3.9479566600952034	6.237953586100711	0.07333625218914186	0.07126704879605313	0.0754606524433132	0.71	0.58	0.79	0.27848101265822783	0.23657128822522164	0.32465787657262796	0.9280374307074201	0.9259239951040973	0.9300951209652698
C14	cardiovascular	#B2DF8A	only	SE	soft	10	209	545	5429	68393	4.83086728382904	8.608705476466349e-63	4.089186181597119	5.690556738793902	0.07560072945719802	0.0737251890605774	0.07751998977302019	0.71	0.58	0.79	0.27718832891246686	0.24642943787779337	0.3102060614219384	0.9264582373818103	0.9245530311249048	0.9283190629252616
C15	hematology	#CAB2D6	only	SE	hard	9	154	928	1859	30725	2.742824196065538	1.0468741828006187e-23	2.282638999453376	3.2782279831519396	0.0597932632329353	0.0573103965716855	0.06237657800909239	0.63	0.54	0.7	0.1423290203327172	0.12277462623999603	0.1644141307258482	0.9429474588755218	0.9403764372873215	0.9454140510601882
C15	hematology	#CAB2D6	only	SE	soft	9	177	1014	1941	31963	2.874330891294188	4.614476462488376e-29	2.4203444860147934	3.3984491425732863	0.060350477275965236	0.05790683677464555	0.06289035431768832	0.63	0.54	0.7	0.1486146095717884	0.12954359923653974	0.16994505357090708	0.9427501179801794	0.9402266802334001	0.9451732363746849
C16	congenital	#8B7E66	only	SE	hard	8	13	249	560	52071	4.854132930882793	6.945264253241969e-6	2.5329080108100244	8.520990591373035	0.01083319153763258	0.009985843044964237	0.011751588285710329	0.61	0.46	0.7	0.04961832061068702	0.02922338430882089	0.08302945598582147	0.9893598829587126	0.9884469206797623	0.9902014151435737
C16	congenital	#8B7E66	only	SE	soft	8	13	256	580	55819	4.886683255336201	6.415239594638855e-6	2.551559504915633	8.571578192674856	0.010464459659772711	0.009659189101943848	0.011336095826026339	0.61	0.46	0.7	0.048327137546468404	0.02845711454252433	0.08091577530228962	0.989716129718612	0.9888495185076883	0.9905160342070555
C17	dermatology	#FB9A99	only	SE	hard	7	7	100	4900	58364	0.833763997240638	0.8555543326637055	0.3266450990072532	1.7836076914008623	0.07743289517287087	0.07537745058388509	0.07953956747603494	0.4	0.31	0.51	0.06542056074766354	0.03204830428813079	0.1289154633356414	0.9225467880627213	0.920438064148845	0.9246042000921163
C17	dermatology	#FB9A99	only	SE	soft	7	7	103	5580	65029	0.7920033090998441	0.7225259809677581	0.3105172656784126	1.692359081149944	0.07900281395381722	0.0770375392894121	0.08101382330083597	0.4	0.31	0.51	0.06363636363636363	0.031164518014477623	0.125557461882102	0.9209732470364967	0.9189603796969811	0.9229403110529992
C18	metabolic	#FFB90F	only	SE	hard	6	38	620	1751	38260	1.3392037770714407	0.08444734486625267	0.9353302354316548	1.8665217540911094	0.04398927930364651	0.042038913737645275	0.04602578325302692	0.48	0.4	0.57	0.057750759878419454	0.04236138301987488	0.07827394097895722	0.9562370348154258	0.9541884065772717	0.9581980647666531
C18	metabolic	#FFB90F	only	SE	soft	6	59	805	1982	44101	1.6307681202052011	7.089130976267714e-4	1.225348373053452	2.134840185836326	0.043474556414680385	0.04166697290261123	0.04535684460243337	0.48	0.4	0.57	0.06828703703703703	0.05330776023435564	0.08708822751467854	0.9569906473102879	0.9550999342899553	0.958805177598304
C19	endocrine	#33A02C	only	SE	hard	5	24	267	406	23783	5.264077023361406	4.410936433261109e-10	3.2767271227883716	8.112543657487402	0.017565359477124183	0.015993847253935663	0.01928825748741331	0.54	0.49	0.59	0.08247422680412371	0.05604693147873476	0.11978132221411227	0.9832155111827691	0.9815182042039392	0.9847593634720464
C19	endocrine	#33A02C	only	SE	soft	5	40	342	470	26287	6.540299180207037	1.5696923887769192e-18	4.533413995913468	9.223560660089975	0.01879214414679981	0.01724337975182081	0.02047711684298111	0.54	0.49	0.59	0.10471204188481675	0.07784425840946721	0.13945084273635444	0.9824345031206787	0.9807898166864142	0.983940684771357
C20	immune	#FF7F00	only	SE	hard	4	22	206	1721	23909	1.4836235563265954	0.083841793591909	0.9072804319953232	2.3151912973322557	0.06740660530590147	0.06441445068679624	0.07052727279323903	0.54	0.46	0.71	0.09649122807017543	0.06458660082241034	0.14176759943171524	0.9328521264143582	0.9297227493274722	0.9358517700298297
C20	immune	#FF7F00	only	SE	soft	4	25	229	2038	27586	1.4776721082130617	0.07994978075865553	0.9342253063499784	2.2440184953558258	0.06904745966932191	0.06622769640469416	0.07197802510386515	0.54	0.46	0.71	0.0984251968503937	0.06755897665089546	0.14125716590023746	0.9312044288414799	0.9282659323499975	0.93403110793587
C23	signs	#7B3F00	only	SE	hard	3	94	542	11641	93647	1.395175711472171	0.004250611673298643	1.1076667396484365	1.7412092186652977	0.11078697934368037	0.10891091739793454	0.11269127080436271	0.53	0.39	0.66	0.14779874213836477	0.12233300571692425	0.17749354690172178	0.8894365929640605	0.8875281834003008	0.891316586183032
C23	signs	#7B3F00	only	SE	soft	3	161	737	16180	129525	1.748760906148385	1.4640613198032721e-9	1.464188145792171	2.0782641832859636	0.11146429472793871	0.10986351451472152	0.11308543611799213	0.53	0.39	0.66	0.17928730512249444	0.1555808288421519	0.20572597917129362	0.8889537078343228	0.8873301892113329	0.8905567177546582
F03	psychiatry	#9959E1	only	SE	hard	2	41	336	2005	36740	2.236054462517186	1.1295061963538053e-5	1.5707320024059117	3.1093075828772845	0.05229793977812995	0.050135514401076504	0.054548277847366246	0.39	0.3	0.54	0.10875331564986737	0.08118394901235103	0.14421551008674238	0.9482513872757775	0.9460008855582623	0.9504130120524238
F03	psychiatry	#9959E1	only	SE	soft	2	93	545	2938	42178	2.4495397969670405	9.20421805581515e-13	1.9382843230249216	3.0675700906150194	0.06624557415745072	0.06400287735751765	0.06856109999442075	0.39	0.3	0.54	0.14576802507836992	0.12050651391539671	0.17526973458295492	0.9348789786328575	0.9325649691948349	0.937118937735844
OTH	other	#BBBBBB	only	SE	hard	1	54	1032	3283	72635	1.1576781477963607	0.29298761762571807	0.8617649192996701	1.5263364676505053	0.04333541114747286	0.041919934694748806	0.04479644810883381	0.44	0.38	0.55	0.049723756906077346	0.038308202193260976	0.06431356716181255	0.9567559735504096	0.9552858120360354	0.9581799136025594
OTH	other	#BBBBBB	only	SE	soft	1	54	1122	3604	80783	1.0787603568291046	0.5615630684966232	0.8036357456460623	1.4211127068852138	0.04275212416581934	0.0414170375017736	0.044128266427008095	0.44	0.38	0.55	0.04591836734693878	0.035362413787586325	0.05943121969981869	0.9572919999525993	0.9559068277376591	0.9586355404369753
