sim_indic_filter	gensup	or	or_l95	or_u95	fisher_p	sim_obs	sim_not	dis_obs	dis_not	ppv	ppv_l95	ppv_u95	npv	npv_l95	npv_u95
unfiltered	TRUE	2.4909873480409384	2.1752986011038	2.8433562543782926	2.5043358431836513e-34	261	1812	8211	142001	0.12590448625180897	0.11231221425039305	0.14088066024051105	0.9453372566772296	0.9441762578324593	0.9464754783672573
unfiltered	FALSE	1.9376598421988211	1.7699377452163407	2.117847750636391	2.5985698418356663e-41	558	4397	36445	556456	0.11261352169525732	0.1041099810024661	0.12171725467750127	0.9385310532449768	0.9379168302016986	0.9391395937609256
filtered	TRUE	2.14210519737651	1.8399135783649059	2.4836744353254563	2.3106215577554128e-20	204	1651	8188	141959	0.10997304582210242	0.09653389054312105	0.12502425088222618	0.9454667758929582	0.9443068042015442	0.9466039539422061
filtered	FALSE	1.9445566447871196	1.7752380493527309	2.1266463535349884	3.13703672643668e-41	551	4348	36198	555440	0.11247193304756073	0.103926589936274	0.12162454568757462	0.9388173173460799	0.9382037677910788	0.9394251685256914
