variable	estimate	std_error	z_value	pr_z
(Intercept)	-6.080510070891464	0.45761067752409806	-13.287517904499202	2.735010928094672e-40
wordrank	0.49235338913978804	0.1395369798891694	3.5284796154456797	4.1795413601922567e-4
