labels	min	max	mean	l95	u95	ntot	numerator	denominator	fracdisp	y
<0.1%	1e-6	0.001	2.496325212520728	0.061805588161393386	14.661548699455368	748539	1	45	1/45	4
0.1%-1%	0.001	0.01	2.930387556064659	1.6282275612660055	4.879069167171474	748539	15	578	15/578	3
1-10%	0.01	0.1	2.406854344319976	1.9179322776163137	2.98431460159676	748539	86	4040	86/4,040	2
10%+	0.1	1	4.043213767810024	3.096088157190307	5.195829358400743	748539	64	1815	64/1,815	1
