label	assoctable	setable	or	or_l95	or_u95	p	sim_obs	sim_not	dis_obs	dis_not	n_rows	y
IntOGen all	assoc_intogen	sider_ses	0.5924460373332904	0.3420101192713452	0.9595078639655558	0.03127349139376672	17	447	45124	702951	748539	5
IntOGen oncology	assoc_intogen	sider_onco_ses	3.0203879054950264	1.735294773288712	4.922075031031683	1.0640653968290096e-4	17	441	834	65349	66641	4
IntOGen non-oncology	assoc_intogen	sider_nononco_ses	0	0	12.227484299601677	0.9999999999999999	0	6	44290	637602	681898	3
germline oncology	assoc_non_intogen	sider_onco_ses	9.3070691299084	4.916633031033537	16.328397952698296	1.883968055156703e-9	14	118	837	65672	66641	2
germline non-oncology	assoc_non_intogen	sider_nononco_ses	1.9251617425948095	1.7779613046854494	2.0819827487472486	6.063213755030969e-52	724	5457	43566	632151	681898	1
