labels	min	max	mean	l95	u95	ntot	numerator	denominator	fracdisp	y
very rare	0.9	1.1	1.1852848154845264	0.24288776153684083	3.5014837274147728	748539	3	281	3/281	5
rare	1.9	2.1	0.755445028467144	0.41204107818954505	1.2713803204477443	748539	14	2048	14/2,048	4
uncommon/infrequent	2.9	3.1	1.040009178081183	0.7095921247606337	1.4724370450056978	748539	32	3412	32/3,412	3
common/frequent	3.9	4.1	2.088260636983455	1.2314725685657333	3.3213077965073383	748539	18	966	18/966	2
very common	4.9	5.1	4.708536819339622	0.947954245024547	14.342081197287083	748539	3	73	3/73	1
