labels	min	max	y	or	or_l95	or_u95	ntot	nse	sim_obs	sim_not	dis_obs	dis_not	baserate	baserate_l95	baserate_u95	ppv	ppv_l95	ppv_u95	npv	npv_l95	npv_u95
null			5	1.2654035438112547	0.7975960839524003	1.912000003796298	176091	0	23	1208	2592	172268	0.014850276277606465	0.014295832475994948	0.015425886885356213	0.01868399675060926	0.01248197557900235	0.027880662446039362	0.9851767127988105	0.9845995485847874	0.9857325600115895
0-25th	0	0.41	4	0.7059246333028018	0.567934924535223	0.8689815386782268	140327	0	98	1132	15195	123902	0.1089811654207672	0.1073614471947244	0.11062229138206672	0.07967479674796749	0.06581739616213647	0.0961494897712497	0.8907596856869666	0.8891095719407	0.8923882167134509
26-50th	0.41	0.53	3	2.755289779569997	2.398623159323755	3.155850365570296	141994	0	258	1356	9067	131313	0.06567178894882883	0.06439509810676969	0.06697197949933817	0.15985130111524162	0.14278338675928884	0.17853453718588327	0.9354110272118535	0.9341132676817012	0.9366849575959485
50-75th	0.53	0.67	2	1.5622250730251495	1.2614025434748675	1.9174253891651938	145971	0	103	1001	8952	135915	0.062032869542580374	0.06080693077065104	0.0632818593098683	0.09329710144927536	0.07752260184408676	0.11189209928478415	0.9382053883907308	0.9369538279891185	0.9394337094995003
76-100th	0.67	1	1	3.2746483703033955	2.8582142433786717	3.7406735539958396	144156	0	273	1302	8580	134001	0.061412636310663446	0.06018492349390118	0.06266372339420957	0.17333333333333334	0.15543948023778786	0.19281680334840248	0.9398236791718392	0.9385773968996091	0.9410462623673004
