attribute	count	proportion
n_drugs	567	4.775549188156638e-4
n_ses	2094	0.001763668430335097
n_rows	1187298	1
n_observed	64481	0.054309027725137245
n_simassoc	7084	0.005966488615326565
n_simindic	1774	0.0014941488994338406
n_geninsight	750141	0.6318051575931232
n_targenrich	13122	0.011051985264019648
