variable	estimate	std_error	z_value	pr_z
(Intercept)	-4.569809804635201	0.18131079137736633	-25.204290213062666	3.5945429469063134e-140
wordrank_ordinal.L	0.9963558403976587	0.5316221352427217	1.8741805021770854	0.06090555058495299
wordrank_ordinal.Q	0.6337537563776928	0.45836228884392144	1.3826481187537105	0.1667727870797359
wordrank_ordinal.C	-0.3263303205736199	0.3375019753033836	-0.9668989945326352	0.33359452933545075
wordrank_ordinal^4	-0.010965586705214343	0.22549145338525767	-0.04862972206081518	0.9612143832004862
