variable	estimate	std_error	z_value	pr_z
(Intercept)	-1.8607782882854733	0.01566016126714233	-118.82242184757708	0
max_severity	-1.2637938241992375	0.028848302811324042	-43.80825563516863	0
sim_assocTRUE	-0.5607416012335011	0.13509803164550357	-4.150627469576194	3.3156504904609156e-5
max_severity:sim_assocTRUE	2.222168652458703	0.22374273698232644	9.931802401408156	3.027331327083426e-23
