bin_name	bin_order	y	or	or_l95	or_u95	ntot	nse	sim_obs	sim_not	dis_obs	dis_not	baserate	baserate_l95	baserate_u95	ppv	ppv_l95	ppv_u95	npv	npv_l95	npv_u95	label
1	1	4	1.1241041536231078	0.13500497848754722	4.124085692697782	119510	373	2	1052	200	118256	0.0016902351267676346	0.001472814874552573	0.001939689098564371	0.0018975332068311196	5.205263745142984e-4	0.0068921712044177665	0.9983116093739448	0.9980610988608366	0.9985298010268602	1
2-9	2	3	2.6156436828044485	1.7890391158094647	3.7010902776065255	250746	695	33	1721	1812	247180	0.007358043597903855	0.007030998655744752	0.007700182976636515	0.018814139110604332	0.013427732974866824	0.026303642383380534	0.9927226577560725	0.9923811188041933	0.9930489934516346	2-9
10-99	3	2	1.4499990033690369	1.2489810641184496	1.6759467944137176	236963	583	205	2126	14630	220002	0.0626047104400265	0.061636405719748905	0.06358719635108054	0.08794508794508794	0.07711527655639713	0.10013078752099915	0.9376470387670905	0.9366614863321132	0.9386182608843554	10-99
100+	4	1	1.0492238151859818	0.9374941952146941	1.1733924837033403	76752	188	515	843	27744	47650	0.36818584531999166	0.36478034504930495	0.371604539600087	0.3792341678939617	0.35380328088230073	0.4053463632443832	0.6320131575456933	0.6285641319634095	0.6354487312015377	100+
