threshold	or	or_l95	or_u95	p	sim_obs	sim_not	dis_obs	dis_not	n_rows
0.05	1.1430953297333821	1.1034345549410334	1.184362175470094	4.0301443892256325e-14	41584	640749	3557	62649	748539
0.1	1.1546009350209339	1.1150400355105412	1.1959396981865102	2.0715439966640667e-16	41506	638802	3635	64596	748539
0.15	1.1314454582217248	1.093267116135235	1.1710887560982082	7.745334012450831e-13	41356	637396	3785	66002	748539
0.2	1.4742666709366088	1.4383218723702065	1.5113918593259108	1.9163752842084877e-224	37051	532105	8090	171293	748539
0.25	1.325073089504283	1.2999396959246714	1.3507161419126201	4.4123093695860076e-184	24706	335589	20435	367809	748539
0.3	1.2382014963118935	1.2147902007180857	1.2620637092644094	8.832100846049407e-107	22016	305748	23125	397650	748539
0.35	1.2634918138335314	1.2394299178812005	1.2880859601454797	8.171526271441018e-125	19873	269861	25268	433537	748539
0.4	1.3325245825490741	1.3064387046086139	1.359031449319344	1.33744286555938e-175	17035	219918	28106	483480	748539
0.45	1.3405507758963358	1.3121618150622472	1.3694931103768229	1.3848860060794134e-153	12563	157139	32578	546259	748539
0.5	1.2017888656187938	1.1722042585752306	1.232093769812567	3.751971670851185e-46	8149	108959	36992	594439	748539
0.55	1.198289890984592	1.1642363471336676	1.2332088377360813	6.9561857365583815e-34	5756	76462	39385	626936	748539
0.6	1.1442037775399827	1.1056800638564457	1.183855873393075	2.0600458946981322e-14	3898	53668	41243	649730	748539
0.65	1.1332228132025806	1.089607533424662	1.1782838332771002	5.64633857967677e-10	2904	40235	42237	663163	748539
0.7	1.2293414138621026	1.1760804031971357	1.2846248148884076	2.637159897495788e-19	2262	28942	42879	674456	748539
0.75	1.4978763715546919	1.4254908969428879	1.5732144474558953	2.8675812672320416e-53	1824	19233	43317	684165	748539
0.8	1.5908210461472023	1.4992369923513134	1.6868817518670305	1.3402074204813766e-48	1269	12561	43872	690837	748539
0.85	1.9075523332715665	1.7836735586940935	2.038164646018753	6.971233726278983e-70	1006	8306	44135	695092	748539
0.9	1.9774520517864982	1.8297644274671068	2.134606130977896	2.6155200133939165e-58	755	5999	44386	697399	748539
0.95	2.187225041476347	2.01677292751622	2.369223873723535	1.292777085237489e-68	699	5022	44442	698376	748539
1	2.262177362029994	2.084078291665382	2.4521034472305088	1.875822251774035e-72	688	4780	44453	698618	748539
