pp_match_type	n	proportion
exact primary	519	0.36293706293706296
exact db synonym	358	0.25034965034965034
exact synonym	202	0.14125874125874127
db cas match	161	0.11258741258741259
missing	76	0.05314685314685315
substring primary	54	0.03776223776223776
exact db primary	49	0.03426573426573427
substring synonym	8	0.005594405594405594
substring db primary	3	0.002097902097902098
