variable	estimate	std_error	z_value	pr_z
(Intercept)	-4.548060281103329	0.14953525927606304	-30.414634669586334	3.518305459630945e-203
wordrank_ordinal.L	0.9592196436436806	0.5038971167882421	1.9036021673582693	0.05696201634241486
wordrank_ordinal.Q	0.3663417456089981	0.47679563262693675	0.7683412358259539	0.4422844823904823
wordrank_ordinal.C	-0.07322583572102626	0.41907575076369563	-0.17473174142761633	0.8612904253908277
wordrank_ordinal^4	0.3700765916371005	0.3431102633217112	1.0785937676545245	0.2807688608338236
wordrank_ordinal^5	0.11936653266128226	0.3119882456902843	0.3825994546595172	0.7020167746674206
wordrank_ordinal^6	0.8017244575640217	0.2592704292443545	3.0922325384373885	0.0019865716288750297
