mesh_id	topl
D000015	C16
D000022	OTH
D000027	OTH
D000028	OTH
D000030	OTH
D000031	C01
D000037	OTH
D000038	C01
D000038	C23
D000039	C01
D000039	C08
D000052	C17
D000059	OTH
D000063	OTH
D000066553	F03
D000066988	OTH
D000067010	F03
D000067073	F03
D000067877	F03
D000068105	F03
D000068296	OTH
D000068298	OTH
D000068299	OTH
D000068438	OTH
D000068557	OTH
D000068579	OTH
D000068656	OTH
D000068718	OTH
D000068737	OTH
D000068756	OTH
D000069059	OTH
D000069196	OTH
D000069282	C11
D000069290	C23
D000069348	OTH
D000069438	OTH
D000069446	OTH
D000069447	OTH
D000069464	OTH
D000069466	OTH
D000069470	OTH
D000069580	OTH
D000069583	OTH
D000070558	C05
D000070558	C16
D000070636	OTH
D000070642	C10
D000070676	C05
D000070816	OTH
D000071017	C10
D000071056	C06
D000071056	C16
D000071057	C10
D000071057	C23
D000071060	OTH
D000071074	C01
D000071074	C16
D000071074	C23
D000071378	C05
D000071451	OTH
D000071656	OTH
D000071681	OTH
D000071697	C23
D000071698	C18
D000071698	C19
D000071698	C20
D000071700	C11
D000071700	C16
D000071858	OTH
D000071936	OTH
D000072281	C15
D000072483	OTH
D000072599	C05
D000072657	C14
D000072657	C23
D000072660	OTH
D000072661	C16
D000072716	C23
D000072742	C01
D000072797	C05
D000072861	F03
D000073376	C10
D000073496	C23
D000073618	C01
D000073818	C23
D000073842	C14
D000073842	C16
D000073869	F03
D000073923	C23
D000073932	F03
D000074049	OTH
D000074765	OTH
D000074962	C14
D000074962	C20
D000075222	C14
D000075224	C14
D000075262	C19
D000075322	OTH
D000075363	C04
D000075384	F03
D000075662	C23
D000075983	OTH
D000076385	C06
D000077144	OTH
D000077152	OTH
D000077154	OTH
D000077155	OTH
D000077195	C04
D000077205	OTH
D000077206	OTH
D000077213	OTH
D000077216	C04
D000077236	OTH
D000077239	OTH
D000077260	C23
D000077273	C04
D000077274	C04
D000077299	C01
D000077299	C08
D000077299	C23
D000077333	OTH
D000077334	OTH
D000077338	OTH
D000077339	OTH
D000077402	OTH
D000077403	OTH
D000077405	OTH
D000077428	C15
D000077428	C16
D000077430	OTH
D000077557	OTH
D000077613	OTH
D000077684	C10
D000077765	C11
D000078602	F03
D000078785	OTH
D000079225	F03
D000079564	F03
D000079689	C23
D000079689	F03
D000080203	C08
D000080223	C17
D000080223	C20
D000080305	OTH
D000080324	C11
D000080344	C10
D000080344	C11
D000080344	C16
D000080362	C11
D000080362	C16
D000080424	C23
D000080485	C10
D000080485	C23
D000080682	OTH
D000081013	F03
D000081015	C23
D000081028	C10
D000081028	C11
D000081028	C23
D000081029	C08
D000081030	C05
D000081030	C10
D000081030	C23
D000081032	C06
D000081084	OTH
D000081207	C16
D000081207	C20
D000081208	C16
D000081208	C20
D000081226	OTH
D000082	OTH
D000082182	OTH
D000082843	C19
D000082843	C23
D000082882	C14
D000082882	C16
D000083242	C10
D000083242	C14
D000083262	C10
D000083262	C14
D000084002	C01
D000084002	C17
D000084063	C23
D000086002	C04
D000086382	C01
D000086382	C08
D000087122	C10
D000087122	C23
D000108	OTH
D000124	F03
D000130	C05
D000130	C16
D000136	OTH
D000138	C18
D000140	C18
D000141	C16
D000141	C18
D000142	C08
D000142	C18
D000151	C01
D000152	C17
D000163	C01
D000163	C20
D000168	C05
D000168	C16
D000169	C16
D000169	C17
D000170	C10
D000172	C05
D000172	C10
D000172	C19
D000182	C04
D000210	C23
D000219	C14
D000219	C23
D000224	C19
D000224	C20
D000225	OTH
D000230	C04
D000236	C04
D000243	OTH
D000257	C01
D000258	C01
D000267	C23
D000275	F03
D000292	C01
D000303	C19
D000307	C19
D000308	C19
D000309	C19
D000310	C04
D000312	C16
D000312	C18
D000312	C19
D000326	C10
D000326	C16
D000326	C18
D000326	C19
D000334	C23
D000339	F03
