ppid	indication_mesh_id
2046	D011020
17985	D001171
12100	D006333
18368	D001943
8045	D020250
14641	D030361
10775	D013276
43072	D014811
6388	D010300
17300	D012874
17300	D009181
5694	D000787
16994	D007676
11991	D005764
19014	D001008
19014	D003865
7442	D001249
3163	D002177
4812	D011618
1433	D058186
1433	D011183
18971	D006561
16985	D060737
15704	D004427
15704	D014605
12191	D004485
15564	D006333
13105	D005764
13105	D013276
18504	D003863
4260	D001714
24046	D003267
6444	D006976
1418	D004485
12759	D004715
4279	D013736
4279	D010051
4751	D006967
12114	D006973
5769	D006934
17236	D015658
7365	D007319
5658	D059226
5658	D059352
7876	D014552
18973	D059352
9754	D009181
4412	D012852
4412	D012141
4412	D006192
10112	D005767
10112	D002177
10990	D010300
15558	D015179
18363	D006973
12173	D003863
19732	D007319
1499	D015658
5473	D000758
1338	D059226
1338	D000758
4280	D000028
13548	D060737
5661	D011565
4416	D012874
12134	D003865
12587	D006962
12528	D050171
10864	D004830
11054	D006333
10774	D000172
9761	D000787
8874	D008224
6928	D059268
6178	D012509
5940	D009437
5484	D003919
4735	D006973
2477	D006509
2478	D006937
7347	D060737
5327	D013203
28641	D003015
7456	D003586
4714	D007943
17036	D018192
2105	D012221
11973	D001249
12528	D006937
4714	D008228
5529	D000758
5475	D014581
8039	D011471
7174	D060737
15762	D010149
15762	D000758
4428	D012141
4428	D006192
7176	D004381
7176	D015043
10143	D006255
11800	D008288
12849	D065631
4425	D059413
4771	D004827
4381	D012874
11994	D006973
3132	D004715
18237	D010001
18237	D010144
18237	D010145
11786	D001172
17673	D012141
17673	D012874
4355	D006192
18252	D008881
5105	D006967
5470	D011041
10983	D048909
4106	D010300
2912	D016410
5308	D020246
11837	D013167
9352	D009101
9352	D003699
5308	D004211
1963	D011618
2119	D014552
4428	D011552
6536	D013617
7876	D012141
8805	D051437
10864	D004829
12853	D059226
15540	D016481
19660	D015658
9763	D012532
4495	D012221
18387	D009203
6178	D007890
18535	D008589
2119	D012852
2119	D002690
31098	D015535
10898	D006333
16173	D009181
27828	D014549
15906	D000077299
18388	D008595
10875	D003677
12173	D000072861
7174	D006562
16009	D013203
1627	D007680
17382	D059226
86043	D001249
15740	D010003
15740	D001171
12850	D016584
17270	D010024
32124	D013964
3080	D029424
11893	D011014
5334	D053201
5807	D014839
5807	D009325
16880	D010661
17027	D007239
22892	D045823
5596	D008881
5334	D014549
9274	D003922
19467	D007010
13402	D008303
10766	D004830
4828	D054559
15718	D001714
9100	D013919
9122	D030361
4628	D003586
23531	D015658
15572	D005764
10775	D004381
13408	D007239
4750	D011565
4750	D003876
1195	D007057
15572	D015043
15620	D003924
16825	D001249
10397	D012141
12071	D000758
33488	D008269
14845	D000758
16253	D006086
12555	D009765
38178	D008545
61565	D013964
34327	D020246
32124	D007680
27876	D000079689
27439	D004828
26813	D000077299
25684	D009765
24981	D003924
24484	D004830
24405	D029424
19736	D004828
19717	D001714
22698	D015210
18979	D004828
18360	D010051
17710	D006073
18298	D054058
16453	D012559
15692	D006501
19059	D054198
4378	D012141
4377	D012141
4377	D015817
12314	D006973
11029	D003967
17985	D010003
14174	D004942
4827	D006937
1473	D009181
5844	D003863
18368	D011183
10488	D006561
4703	D016584
16947	D010300
2124	D007239
5694	D006973
4423	D010033
4423	D014069
12751	D010003
4431	D012141
4812	D012559
4416	D001850
6297	D065631
19688	D015658
12191	D006255
12191	D012221
15738	D013035
14471	D003924
12587	D049950
12262	D006255
12306	D013203
10774	D018358
10699	D012874
10774	D013964
8728	D011470
7137	D016410
5940	D014549
3876	D002289
3287	D015658
2982	D013921
1813	D007889
105	D009290
15564	D006973
14726	D006333
13105	D004381
12087	D003922
13528	D001172
13528	D010003
12113	D016066
4751	D003876
1462	D012559
3172	D059226
15008	D006973
18530	D014839
18530	D009325
10990	D004412
17979	D054198
12173	D003865
14310	D010300
5317	D006177
14725	D012552
18209	D020767
9746	D006973
4428	D018805
4503	D014987
4443	D000789
4425	D014552
5806	D001281
18252	D006973
18252	D006333
4371	D012141
10874	D065631
7753	D007251
2105	D001249
2104	D012393
2104	D000152
5475	D011537
8039	D001943
1542	D001943
4672	D011472
13416	D011618
16669	D013927
645	D005901
9065	D015470
5470	D000647
1506	D054198
12787	D009293
7421	D003863
5828	D002318
2840	D006333
13442	D015043
13442	D004381
13131	D007239
14269	D016410
9761	D006333
12160	D007938
14494	D029481
4495	D006255
18201	D010149
6511	D000740
15637	D004828
17949	D043183
18344	D014549
10116	D059226
12164	D000758
14242	D006973
12083	D000028
1627	D015179
17382	D007249
12134	D003863
28752	D056806
14683	D002578
15740	D010149
12850	D013313
16988	D000072861
5364	D000755
8920	D003922
2049	D013514
7885	D001650
7885	D010190
3140	D008223
18087	D009101
14321	D004942
7314	D001281
14214	D001008
11893	D012874
14321	D005764
2044	D006938
4387	D007239
2119	D007239
13402	D003967
11490	D001228
19108	D000752
7828	D004827
1322	D003872
4327	D006333
10935	D012874
12902	D006333
14214	D016584
28752	D000592
27584	D046152
25428	D005776
22964	D008415
22964	D004686
13282	D007010
13282	D007690
12553	D003922
9269	D003924
36855	D008113
68818	D009103
17263	D010190
15572	D013276
11485	D012141
2914	D003924
10775	D010437
11485	D012874
13195	D015228
6280	D008881
3029	D005901
4502	D007247
9649	D006333
14313	D006973
10775	D004942
7539	D012874
11013	D015817
19741	D011618
14174	D016481
1469	D000787
4609	D009157
23402	D054198
57456	D002100
12160	D020529
11991	D048909
4423	D012141
7442	D029424
5381	D015658
4795	D009181
19011	D000758
12031	D003863
33394	D015658
34136	D011595
32854	D006976
32664	D014376
32047	D001289
32014	D015464
29451	D003093
28985	D000741
27876	D043183
28637	D013203
26530	D003924
25614	D029424
22698	D059352
19685	D010149
