ppid	indication_mesh_id
34740	D011565
5897	D001145
57456	D016889
12857	D015658
13517	D010190
8874	D016399
5850	D006973
7419	D006937
15718	D000544
16173	D003047
141737	D009222
30907	D011832
1627	D008228
16597	D014029
30452	D005128
68818	D003882
5840	D005901
9122	D018295
84941	D008288
2881	D052016
4827	D003924
7350	D009190
36335	D013927
32047	D056912
28330	D013921
27741	D008080
17878	D017285
11063	D003233
3876	D001932
3876	D005909
3876	D008527
27317	D008593
17970	D008545
18984	D009203
22709	D001249
18207	D020249
9718	D050197
29734	D001171
1627	D001943
1627	D008232
11782	D006973
30452	D002825
68818	D011183
68818	D004485
15718	D015140
40516	D010505
39743	D008228
25950	D002545
25950	D020521
11063	D002386
35872	D000562
11947	D001171
4828	D006937
37139	D015451
143754	D006973
1627	D002289
30452	D009902
118819	D006333
4436	D001171
7828	D051474
19524	D014549
5484	D004775
13468	D003924
13416	D012559
36335	D011655
5769	D000072716
5164	D009203
13069	D009203
1963	D005879
5896	D002100
18782	D014545
3044	D010149
37139	D001943
2028	D009203
1627	D015470
1627	D011471
8705	D000755
30452	D012713
22964	D006976
39743	D016393
79308	D001289
15557	D020249
7350	D016393
10774	D023903
25863	D009181
13452	D006962
5164	D011655
4143	D006934
18149	D011618
14115	D013274
19700	D001249
182159	D000086382
32422	D011618
30452	D015535
43097	D042882
68818	D053578
14683	D013274
14049	D008224
14049	D016403
8874	D016393
6132	D054179
3978	D020521
3978	D002545
13416	D003863
18535	D012141
2972	D001281
24149	D002289
16669	D000789
17979	D009447
8039	D007889
14213	D007896
37492	D003863
5484	D011141
4436	D004412
4781	D054058
18358	D004828
17878	D009157
12306	D059413
11188	D008545
5484	D014549
5164	D020246
8696	D008548
18006	D002177
143754	D006333
9754	D001759
1627	D008113
1627	D020522
2840	D009202
